#v,0,1,1
Events recorded,13
Main event,108
#0100
Specifications,
, Encryption, 
, , Scheme, BFV
, , Security, 128 bits
, Extra, 0
, Encryption Parameters
, , Poly modulus degree, 8192
, , Coefficient Modulus, 60, 40, 60
, , Plain Modulus, 20
, Algorithm, MatMultVal, One matrix row per ciphertext, Encode transposes second matrix
, Number of threads, 70

, Category, Latency
, , Warmup iterations, 1
, , Minimum test time requested (ms), 0

, Workload, Matrix Multiplication (8192x100) x (100x10)
, , Data type, Int64
, , Encrypted op parameters (index), All
, , M = M0 x M1
, , , Rows, Columns, Batch size
, , M0, 8192, 100, 1
, , M1, 100, 10, 1
, , M, 8192, 10, 1

#0200
,idx,ID,Event,Description,Time ratio num,Time ratio den,Wall time start,Wall time end,Elapsed wall time,CPU time start,CPU time end,Elapsed CPU time,Iterations
,0,102,Initialization,,1,1000000,3.565,85840.016000000003,85836.451000000001,3,85834,85831,1
,1,103,Encoding pack 0,,1,1000000,5.835,774929.554000000004,774923.719000000041,6,774901,774895,1
,2,105,Encryption,,1,1000000,774967.979999999981,19549130.91800000146,18774162.938000001013,774944,19547724,18772780,1
,3,106,Loading,,1,1000000,19549354.46799999848,19549356.061000000685,1.593000002205,19547953,19547959,6,1
,4,107,Warmup,,1,1000000,19549363.791999999434,62711731.406000003219,43162367.61400000751,19547967,2322609022,2303061055,1
,5,108,Operation,,1,1000000,62717042.440999999642,93337410.178000003099,30620367.737000003457,2322942496,4278263642,1955321146,1
,6,108,Operation,,1,1000000,93337419.054000005126,123607642.606000006199,30270223.552000001073,4278263665,6236851046,1958587381,1
,7,109,Store,,1,1000000,123608015.497999995947,123608018.432999998331,2.935000002384,6236851425,6236851432,7,1
,8,109,Store,,1,1000000,123608021.944000005722,123608023.040999993682,1.09699998796,6236851436,6236851437,1,1
,9,110,Decryption,,1,1000000,123608029.901999995112,175820888.979000002146,52212859.077000007033,6236851443,6289380682,52529239,1
,10,110,Decryption,,1,1000000,175824491.247999995947,227859780.134999990463,52035288.886999994516,6289384290,6341415219,52030929,1
,11,111,Decoding,,1,1000000,227863394.865999996662,236534920.717999994755,8671525.851999998093,6341418839,6350089595,8670756,1
,12,111,Decoding,,1,1000000,236537648.259999990463,245220692.206000000238,8683043.946000009775,6350092328,6358774640,8682312,1
#8E00

#8FFF
